Title,Body,Stars
Piccolo ma potente,"Dispositivo preso in accoppiata ad una lampadina Smart, semplice nell installazione e veramente comodo nell uso quotidiano  Non ha nulla da invidiare al  fratello più grande  in termini di audio  la sveglia mattutina si fa sentire forte e chiaro  Da prendere se si vuole rendere la casa un po  più Smart ","5,0"
Ottimo,Come le attese ,"4,0"
Utile,È bello averlo in casaÈ bello averlo in casa,"5,0"
Ottima!,Dispositivo dal design carino e dalle ottime proprietà   Consigliato ,"5,0"
Ottimo assistente virtuale,"È un ottimo assistente virtuale, gli puoi chiedere di tutto senza distogliere le mani dalle attività che stai svolgendo, puoi telefonare agli altri utenti alexa, puoi chiedere calcoli ecc ecc      Qualsiasi cosa","5,0"
"Echo Dot (5ª generazione, modello 2022)","amazon echo dot 5 molto migliorato sia nella qualità del suono, sia come prestazioni  il migliore fino ad ora ","5,0"
Ottimo affare,"Acquistato in sconto insieme a Ring Intercom  Avevo già un echo dot di generazione precedente e conoscevo già i pregi del prodotto  Questo migliora la qualità audio, in più ha un sensore di temperatura e può essere utilizzato come sensore di presenza  Consiglio l acquisto","5,0"
OTTIMO,"COMPRATO UN PO  PER GIOCO, DEVO DIRE CHE HA UN OTTIMO SUONO, LA MUSICA SI SENTE BENISSIMO  UN OTTIMO APPARECCHIO ","5,0"
Ottima qualità,"Buon suono, una cassa veramente economica e buonissima ","5,0"
Ottimo,"Prodotto eccellente, facile da configurare, il pacco ha rispettato i tempi","5,0"
Mai più senza.,"Ormai vivo ascoltando la musica solo con Alexa    comoda e utile per molte altre cose    timer, sveglia ecc   ","5,0"
Bello davvero,Che dire   Già il prodotto si conosce  Per me molto utile e lo trovo bello esteticamente ,"5,0"
articolo buono ma,articolo di buone caratteristiche tecniche ma utile solo per particolari utenti e tutto sommato superfluo,"4,0"
Davvero utile!,"Pensavo di trovare più difficoltà invece è programmato per rendere tutto più semplice e veloce anche nelle impostazioni, nei collegamenti ecc Ottima potenza  Bel Designs","5,0"
"Alexa, una garanzia!","Ottimo prodotto, utile anche la funzione orologio ","5,0"
Comoda in casa.,"Che dire, ormai se non ce l hai la devi comprare ","5,0"
"Mi trovo bene, se lo programmi come si deve fa quello che chiedi","Già scritto nel titolo, c è poco da dire di Alexa","5,0"
Consigliato!,Ha molteplici funzioni è sempre più avanzate per una casa intelligente  Migliorata nei comandi è un ottimo supporto per svolgere la propria routine giornaliera con semplicità ,"5,0"
Buon prodotto,Audio un po cupo,"4,0"
Alex,Sonno soddisfatta del mio acquisto,"5,0"
Felice,Ho regalato questo dispositivo ai miei genitori  Sono rimasti soddisfatti per la facilità di installazione e per la qualità audio,"5,0"
È un regalo,L ho scelto come regalo  Per ora era felice    Poi vediamo come sarà dopo l installazione  Ma Alexa dovrebbe essere una garanzia   ,"5,0"
Ottimo prodotto,"Comodo, si accende subito  E si collega sia ad internet che al cellulare istantaneamente  Facilissimo da usare","5,0"
Ottimo e funzionale prodotto a prezzo buono.,"Tutto ok, non c è nulla che non va, qualche problemino sulle impostazioni, ma niente di che ","5,0"
Un affare se in offerta,"Ottimo suono, a prezzo pieno è costoso, ma in offerta è un acquisto consigliato","5,0"
AIUTA TANTISSIMO NELLA QUOTIDIANITÀ,SEMPLICEMENTE INCREDIBILE,"5,0"
Alexa,È diventata la mia aiutante in casa  lista spesa  appunti  timer  sveglia musica  ecc  non potrò più farne a meno   ,"5,0"
Alexa,Prodotto unico,"5,0"
Ottimo,Soddisfatto,"5,0"
Tutto ok,Tutto ok,"5,0"
Alexa,Alexa e fenomenale ottima,"5,0"
Audio perfetto,"Avevo il modello precedente, questo qui naturalmente è ancora meglio","5,0"
Utile,Buon promemoria per spese sveglie e compleanni,"5,0"
prodotto come da descrizione,niente da dire     spedizione prime superveloce,"4,0"
Alexa,Facile da usare lo uso tanto per la musica e soprattutto per chiedere tante cose e sapere notizie veloci,"4,0"
Echo dot 5 senza orologio,"Il prodotto è ottimo, facile installazione, risponde bene ai comandi, ottimo suono, unica nota negativa  e per questo non ho dato 5 stelle  il cavo di alimentazione è bianco ma con un echo dot nero antracite , se io lo volevo nero era per un motivo quindi anche il cavo doveva essere nero, stesso problema con echo show 5, sinceramente non ho capito questa filosofia, peccato sarebbe stato perfetto","4,0"
Funziona davvero bene,"Lo uso per gestire Tv android Sony, riscaldamento Finder Bliss, robot Deboot ed infuturo per le lampadine  Sono pienamente soddisfatto anche perché avevo l assistente Google e trovo che Alexa ha una marcia in più, per esempio ti da la buonanotte con un bacino sonoro parlandoti a bassa voce    la prima volta ho avuto i brividi dalla gioia ","5,0"
Ottimo,"Molto bello, è arrivato il giorno dopo dell ordine in ottime condizioni Ho avuto qualche difficoltà nel configurarlo  Comunque funziona bene","4,0"
Ottimo,"È il secondo che acquisto ed è davvero comodissimo, soprattutto abbinato alle smart plugs Le caratteristiche sono spiegate ottimamente quindi non sto a ripeterleConsigliato","5,0"
Un apparecchio che ti tiene compagnia,"Ottimo prodotto, i miei nipoti lo usano spesso","5,0"
Una netta differenza rispetto alle generazioni precedenti,"Lo ho comprato per sostituire il primo Echo Dot che avevo acquistato, che cominciava a non funzionare più tanto bene  Non mi aspettavo una qualità del suono così diversa, si sente che l altoparlante è di un livello superiore  Penso che pian piano li sostituirò tutti","5,0"
Qualità garantita Amazon,Il prodotto ha tutte le funzionalità per cui è noto ed esegue in modo eccellente il suo compito La qualità audio è più che soddisfacente e il design è accattivante L installazione è molto semplice anche per gli utenti più inesperti Grazie per aver letto la mia recensione ,"5,0"
Da avere,Non ne faccio più a meno,"5,0"
Un'ottima  cassa audio,"Non avendo il wifi a casa e collegando i dispositivi tramite hotspot del mio telefono, è stato abbastanza difficile configurare la cassa la prima volta per funzionare solo tramite bluetooth  Ma una volta configurata funziona come un orologio Casio, perfettamente e senza intoppi  La qualità del suono a questo prezzo credo che sia imbattibile, il microfono e il software riconoscono benissimo la voce ed è un gran piacere usarla per ascoltare musica e guardare film  Ve la consiglio ","5,0"
Compagnia,Semplicità nel suo uso e versalita ,"5,0"
"Buono, ottimi i materiali","Ottimo strumento, molto utile","5,0"
"Funziona benissimo , non posso farne a meno","Alexa è insostituibile  Mi trovo benissimo, qualità suono ottima , veloce nella ricerca , facile da configurare  ","5,0"
ONNISCIENTE,"Ottimo prodotto di facile installazione, risponde a qualsiasi domanda ed ha un infinità di applicazioni che io, per manifesta incapacità, ancora non utilizzo,ma piano piano         ","5,0"
Top!,"Amazon echo   Personalmente è il primo dispositivo  che acquisto e devo dire che sono molto soddisfatto, indispensabile per chi ama la domotica in  casa e vuole dare un tocco di tecnologia in più ","4,0"
Bella,Un po  difficile da configurare ma bella,"5,0"
Buono,Molto migliorato rispetto ai precedenti,"4,0"
ARTICOLO FUNZIONALE E BUONISSIMO,ARTICOLO COMODO E FUNZIONALE LO CONSIGLIO,"5,0"
May/Consegna,Materiale come ordine  Forniture consigliato ,"5,0"
ottimo,GRAZIE AMAZON PRODOTTO OTTIMO SONORITA OTTIMA,"5,0"
Un avventura andata a finire per fortuna BENISSIMO,"Inizialmente ero moltoSoddisfatto ma dopo un mese di utilizzo la cassa ha iniziato a  friggere  rendendo i bassi fastidiosi, il suono era tremolante  L assistenza ha provato a farmi riavviare echodot, ma il problema è rimasto  Dopo un passaggio all assistenza specifica e parecchi tentativi hanno scelto di darmi in sostituzione un oggetto ricondizionato  Che dopo un mese di utilizzo ha lo stesso problema  A oggi mi è stato cambiato in tempi brevissimi  L assistenza come sempre è imbattibile   MI HANNO SUPPORTATO DURANTE TUTTA LA PROCEDURA SOSTITUENDOLO,Ora va tutto bene  Ps Gli altri due che ho acquistato per la casa non hanno quel problema per fortuna ","5,0"
Utilità,Straordinario   ,"5,0"
Ottimo ma...,All inizio avevo messo 5 stelle  Ora ce l ho da qualche mese e abbasso a 4 perché ultimamente il comando vocale non funziona sempre benissimo e a volte si scollega dal wifi nonostante la connessione funzioni perfettamente ,"4,0"
PRODOTTO INDISPENSABILE,"Avevo un Echo Dot di di quarta generazione che ha smesso di funzionare dopo un anno  Volevo chiedere ad Amazon se si poteva riparare, ma alla fine ho comprato subito questo modello, sperando che duri di più  Una volta abituati ad Alexa, non se ne può più fare a meno ","5,0"
Ottimo,"Si sente benissimo, è piccolo e si adatta ad ogni stanza  Peccato il filo bianco nonostante echodot che ho ordinato io sia nero","4,0"
Amazon,Ottima come tutti prodotti amazon secondo me é da migliore il touch per mettere pausa perché non prende al primo colpo,"5,0"
Tutto bene,Tutto bene,"5,0"
Vale la pena??,"Sono passato dalla terza alla quinta generazione e questo è quello che ho riscontrato    AUDIO    A livello audio c è stato un netto miglioramento, il suono è più pulito e più corposo, ora si può godere meglio di una buona musica      FUNZIONALITÀ       Le funzionalità mi sembrano tutto sommato le stesse, è stato aggiunto un sensore di temperatura, anche se non mi sembra precisissimo e un sensore di prossimità per rilevare se c è qualcuno nella stanza   DESIGN   Il design è molto bello e ben curato, preferisco questo modello fatto a sfera che quello della terza generazione schiacciato Si adatta perfettamente in ogni stanza ed oltre ad essere funzionale fa anche da arredo        CONFIGURAZIONE       La configurazione è immediata se lo acquistate con l opzione di associarlo direttamente al vostro profilo, una volta tirato fuori dalla scatola basta attaccare l Echo alla corrente e si attaccherà automaticamente al WiFi e farà da solo tutte le configurazioni Se invece è il vostro primo Echo basta seguire le istruzioni e in pochi semplici passaggi verrete guidati nella configurazione    CONSIDERAZIONI   Vale la pena passare da un precedente modello a questo  Io dico dipende, i precedenti modelli non sono così inferiori o non gli mancano funzionalità essenziali da essere sostituiti con questo a priori Tuttavia questo prodotto si trova spesso in sconto a circa 20 euro e per questa cifra mi sento di consigliare il passaggio, altrimenti a prezzo pieno l unica cosa evidente per la quale varrebbe la pena effettuare l upgrade a mio avviso è l audio migliorato Consiglio quindi se volete acquistarlo di aspettare una delle tante promo e portarvelo a casa con poco più di 20 euro ","4,0"
Alexa,Ottimo,"4,0"
Alexa gen 5 ottimo come gli altri Alexa,"Ho perso il conto di quanti Echo dot ho comprato, tutti validissimi ","5,0"
Spettacolo,"Eco Alexa 5 generazione, ha una qualità del suono bellissima  Ottima ","5,0"
Ottimo,"Ordinato per un regalo di compleanno ad una carissima amica  Ne avevo già sentito parlare bene dell echo dot ed è vero  È utile e indispensabile da avere in casa  Con echo dot puoi fare tutto  ascoltare musica, chiedere ad Alexa l ora, il tempo e  di impostare timer o sveglie  Sta bene su tutti gli stili di arredamento  Consigliatissimo ","5,0"
Ottimo,Ottimo prezzo come sempre Amazon è il top degli acquisti,"5,0"
Comodo,usata come regalo,"5,0"
Ottimo,Ottimo,"5,0"
Top,"Mi diverto con Alexa, applausi per chi lo ha inventato ","5,0"
Alexa,Beh fa quello che deve fare  La musica si sente bene,"4,0"
Per me indispensabile!!,"Un dispositivo per ogni stanza e non solo, infatti anche in giardino c è  Alexa   Il motivo è semplice, domotica, musica, ricerche, notizie, ricette e quant altro ","5,0"
ottimo,"non era per me ma per un non vedente ho aspettato che lo usasse un po  prima di lasciare feedback, ottimo prodotto veramente soddisfatto dell acquisto ","5,0"
Ottimo prodotto,I Dot sono sempre un ottimo entry level  Non sempre recepisce le domande al primo tentativo ma tutto sommato bene  Ottimo audio,"5,0"
Molto funzionale...,"Non avevo mai provato un oggetto simile, l ho trovato divertente e utile  Ci sono diversi giochi che intrattengono i bambini e si possono caricare moltissime skills per comandare i comandi domotici di casa  Valuterò l acquisto di un altra Alexa","5,0"
Buono,Como per sapere notizie in tempo reale,"4,0"
Recensione Alexa,Mi è piaciuto il servizio che offre,"5,0"
Ottimo prodotto,Non credo abbia bisogno di descrizioni Alexa ,"5,0"
Qualità del suono veramente buona,"La scorsa estate, durante una super offerta a soli 20  , avevo preso l Echo Dot 4 generazione ed ero rimasto piacevolmente stupito della qualità sonora in considerazione delle sue ridotte dimensioni  tralascio le considerazioni sul mondo Alexa di cui molti ed assai più competenti di me già hanno scritto   A novembre u s  vedo una super offerta a 25   per il nuovo modello di 5  generazione con recensioni molto positive circa un ulteriore ed apprezzabile miglioramento del suono   Decido che per quella cifra, visto che a volte si sprecano ben più soldi per poco più di nulla, valeva la pena di acquistarlo così li avrei sistemati in ambienti diversi  Se la 4  generazione era già buona questo mi stupisce nel confronto  A volte mi chiedo come sia possibile che un aggeggio poco più grande di una mela possa avere una tale qualità sonora  Chiaramente la soundbar che ho è un altra cosa, ma parliamo di ben altre dimensioni e prezzi ","5,0"
Echo Dot 5gen,"Prodotto arrivato in tempo con spedizione Prime, conforme alla descrizione e alle foto presenti sul sito","5,0"
.,BUON PRODOTTO,"5,0"
Bella comoda,Bella comoda,"4,0"
Consigliato,Facile installazione lo trovo utile  Consigliato per il prezzo,"5,0"
Pacco arrivato integro e prodotto molto bello,Cassa molto potente e compatibile con tutti i telefoni,"4,0"
Eco dot,"Questo apparecchio lo ha voluto comprare mia moglie ovviamente per velocizzare le azioni in casa, diciamo che avendolo utilizzato da diversi giorni ho potuto notare che funziona ma purtroppo non al 100 per 100 perché ad esempio io in casa ho una smartv hisense da 50 pollici molto recente e con quella non riesco a connettere le funzioni di Alexa, anche avendo provato in diversi modi quindi do 4 stelle perché purtroppo non si può associare a tutte le cose elettroniche che ci sono in casa ma resta utile per altre sue funzioni ","4,0"
OTTIMO,Al di sopra delle mie aspettative ,"4,0"
Ottimo prodotto,Ottimo prodotto,"5,0"
Alexa,"Prodotto ottimo , venditore eccellente","4,0"
Ottimo prodotto,"Ottimo prodotto, acquistato per curiosità  Principalmente lo uso come sveglia  devo ancora studiare un po  le funzioni  Comunque acquisto consigliato ","5,0"
Alexa,Si sente bene e forte,"5,0"
Mai più senza!,"Da quando ho questo echo dot anche fare bici in casa è diventato più divertente Lascio accesa la musica per i miei animali domestici quando sono fuori casa, posso cambiare volume e brani tramite il telefono, anche essendo fuori casa  funzione super comoda, a breve acquisterò anche le lampadine e videocamere di sorveglianza Occupa poco spazio, la musica si sente discretamente e a volume massimo si sente abbastanza alto  I bassi sono da migliorare ma per un altoparlante così piccolo non si può pretendere  Utile anche come sveglia e come promemoria Super consigliato ","5,0"
Ok,Ottimo,"5,0"
Must have,"Avere in casa Alexa è una gran comodità Si ascolta musica di ottima qualità audio, si può interagire con l apparecchio per sapere le condizioni meteo piuttosto che le notizie del giorno e tante altre cose Non se ne può più fare a meno Ho acquistato con il prezzo in promozione e sono veramente soddisfatta La consegna precisa ","5,0"
funziona benissimo,"Ottimo prodotto  Funziona bene, e  molto, utile soprattutto per ricordare le scadenze e la lista della spesa ","5,0"
Bene,"Li ho provati  tutti     devo dire che Alexa soprattutto per il prezzo mi ha stupito  Ottimo prodotto, sono soddisfatto","5,0"
Ottimo prodotto,Ottimo prodotto,"5,0"
La nostra Alexa,"Immancabile in casa, è di compagnia per le notizie, la musica, i timer, etc ","4,0"
"L'altoparlante perfetto, alexa un po' meno","L altoparlante ha volume, microfono e bassi incredibili, ma alexa all interno non capisce molte delle cose che gli si vengono dette, rispondendo sempre con  Non lo so ,  Non ho capito  ecc  anche se migliorabile da amazon  Alexa non fornisce una conversazione scorrevole come quella di Google Assistant, e non supporta delle domande riferite ad altre domande precedenti  Per le funzioni dell altoparlante e il prezzo in sconto puo comunque essere una buona offerta ","4,0"
Qualità e facilità d'uso.,"Il primo articolo per persone normali, che vogliono affacciarsi alla domotica  Cassa audio spettacolare in piccoli ambienti ma si fa sentire anche in ambienti più grandi perfetta ","5,0"
La base per una casa domotica,"Niente da fare, Alexa si dimostra un eccellente assistente vocale L utilizzo dell app Alexa sul telefono è un obbligo, ma davvero permette di regolare tutto Se avete intenzione di implementarla in casa fidatevi, sarà un extra che si sentirà non appena ci farete un attimo la mano Riconosce la voce molto bene anche dalle altre stanze e non fa interferenza se avete Alexa su altri dispositivi, capirà in automatico a quale rivolgersi Unica pecca che ho trovato, essendo un patito dell audio, è che non ha nulla a che vedere con casse bluetooth di fascia media, qualitativamente buona ma non eccellente Non comprate Alexa per sentire solo la musica ","5,0"
Piccolo.... In tutto!!!,Funzionale elegante occupa poco spazio quindi adattabile ovunque ma le sue dimensioni si rispecchiano anche nella potenza del suono    Al massimo volume suona come il mio smartphone quindi se quello che cercate è un device che andrete ad utilizzare sopratutto per ascoltare la musica ovviamente da primemusic vi consiglio la sorella maggiore decisamemte pou potente e con un suono piu uniforme Per quanto riguarda il funzionamemto e la qualita ovviamente meriterebbe non 5 ma 6 stelle  ,"4,0"
suono buono ma più sorda della 3,"Suono ottimo, l assistente vocale però risulta più  sordo  della versione 3    ","4,0"
Buon prodotto,Fa quel che ci si aspetta  Poco ingombrante  Rapida nelle risposte ,"5,0"
Amazon Alexa,"Solo una parola perfetta ,non esiste prodotto migliore di questo","5,0"
Molto utile in tutto .,"Molto utile nella vita quotidiana , a volte stonata    ","5,0"
