Title,Body,Stars,Polarity,Polarity_Text
presenza discreta ,da quando   arrivata a casa nostra ha subito preso il suo posto in cucina  viene spesso consultata da tutti noi     speriamo duri nel tempo      ,"5,0",0.186,Good
ottimo assistente virtuale,  un ottimo assistente virtuale  gli puoi chiedere di tutto senza distogliere le mani dalle attivit  che stai svolgendo  puoi telefonare agli altri utenti alexa  puoi chiedere calcoli ecc ecc      qualsiasi cosa,"5,0",0.25,Good
echo dot     generazione  modello      ,amazon echo dot   molto migliorato sia nella qualit  del suono  sia come prestazioni  il migliore fino ad ora ,"5,0",0.1212,Good
ottimo affare,acquistato in sconto insieme a ring intercom  avevo gi  un echo dot di generazione precedente e conoscevo gi  i pregi del prodotto  questo migliora la qualit  audio  in pi  ha un sensore di temperatura e pu  essere utilizzato come sensore di presenza  consiglio l acquisto,"5,0",0.0809,Good
ottimo,comprato un po  per gioco  devo dire che ha un ottimo suono  la musica si sente benissimo  un ottimo apparecchio ,"5,0",-0.2048,Bad
mai pi  senza ,ormai vivo ascoltando la musica solo con alexa    comoda e utile per molte altre cose    timer  sveglia ecc   ,"5,0",0.25,Good
ottimo,come le attese ,"4,0",0.25,Good
bello davvero,che dire   gi  il prodotto si conosce  per me molto utile e lo trovo bello esteticamente ,"5,0",-0.1335,Bad
davvero utile ,pensavo di trovare pi  difficolt  invece   programmato per rendere tutto pi  semplice e veloce anche nelle impostazioni  nei collegamenti ecc ottima potenza  bel designs,"5,0",0.25,Good
alexa  una garanzia ,ottimo prodotto  utile anche la funzione orologio ,"5,0",0.25,Good
comoda in casa ,che dire  ormai se non ce l hai la devi comprare ,"5,0",-0.1335,Bad
mi trovo bene  se lo programmi come si deve fa quello che chiedi,gi  scritto nel titolo  c   poco da dire di alexa,"5,0",-0.1335,Bad
consigliato ,ha molteplici funzioni   sempre pi  avanzate per una casa intelligente  migliorata nei comandi   un ottimo supporto per svolgere la propria routine giornaliera con semplicit  ,"5,0",0.186,Good
buon prodotto,audio un po cupo,"4,0",-0.173,Bad
ottima ,dispositivo dal design carino e dalle ottime propriet    consigliato ,"5,0",0.25,Good
alex,sonno soddisfatta del mio acquisto,"5,0",0.25,Good
felice,ho regalato questo dispositivo ai miei genitori  sono rimasti soddisfatti per la facilit  di installazione e per la qualit  audio,"5,0",0.25,Good
  un regalo,l ho scelto come regalo  per ora era felice    poi vediamo come sar  dopo l installazione  ma alexa dovrebbe essere una garanzia   ,"5,0",0.25,Good
ottima qualit ,buon suono  una cassa veramente economica e buonissima ,"5,0",0.25,Good
ottimo,prodotto eccellente  facile da configurare  il pacco ha rispettato i tempi,"5,0",0.186,Good
ottimo prodotto,comodo  si accende subito  e si collega sia ad internet che al cellulare istantaneamente  facilissimo da usare,"5,0",0.25,Good
articolo buono ma,articolo di buone caratteristiche tecniche ma utile solo per particolari utenti e tutto sommato superfluo,"4,0",0.25,Good
ottimo e funzionale prodotto a prezzo buono ,tutto ok  non c   nulla che non va  qualche problemino sulle impostazioni  ma niente di che ,"5,0",0.1684,Good
un affare se in offerta,ottimo suono  a prezzo pieno   costoso  ma in offerta   un acquisto consigliato,"5,0",0.25,Good
aiuta tantissimo nella quotidianit ,semplicemente incredibile,"5,0",0.25,Good
alexa,  diventata la mia aiutante in casa  lista spesa  appunti  timer  sveglia musica  ecc  non potr  pi  farne a meno   ,"5,0",-0.0684,Bad
tutto ok,tutto ok,"5,0",0.148,Good
utile,  bello averlo in casa  bello averlo in casa,"5,0",0.25,Good
audio perfetto,avevo il modello precedente  questo qui naturalmente   ancora meglio,"5,0",0.25,Good
lo consiglio,ok,"5,0",0.1684,Good
utile,buon promemoria per spese sveglie e compleanni,"5,0",0.25,Good
prodotto come da descrizione,niente da dire     spedizione prime superveloce,"4,0",-0.1335,Bad
alexa,facile da usare lo uso tanto per la musica e soprattutto per chiedere tante cose e sapere notizie veloci,"4,0",0.25,Good
echo dot   senza orologio,il prodotto   ottimo  facile installazione  risponde bene ai comandi  ottimo suono  unica nota negativa  e per questo non ho dato   stelle  il cavo di alimentazione   bianco ma con un echo dot nero antracite   se io lo volevo nero era per un motivo quindi anche il cavo doveva essere nero  stesso problema con echo show    sinceramente non ho capito questa filosofia  peccato sarebbe stato perfetto,"4,0",0.25,Good
ottimo,molto bello    arrivato il giorno dopo dell ordine in ottime condizioni ho avuto qualche difficolt  nel configurarlo  comunque funziona bene,"4,0",0.25,Good
ottimo,  il secondo che acquisto ed   davvero comodissimo  soprattutto abbinato alle smart plugs le caratteristiche sono spiegate ottimamente quindi non sto a ripeterleconsigliato,"5,0",0.2108,Good
un apparecchio che ti tiene compagnia,ottimo prodotto  i miei nipoti lo usano spesso,"5,0",0.25,Good
una netta differenza rispetto alle generazioni precedenti,lo ho comprato per sostituire il primo echo dot che avevo acquistato  che cominciava a non funzionare pi  tanto bene  non mi aspettavo una qualit  del suono cos  diversa  si sente che l altoparlante   di un livello superiore  penso che pian piano li sostituir  tutti,"5,0",0.25,Good
qualit  garantita amazon,il prodotto ha tutte le funzionalit  per cui   noto ed esegue in modo eccellente il suo compito la qualit  audio   pi  che soddisfacente e il design   accattivante l installazione   molto semplice anche per gli utenti pi  inesperti grazie per aver letto la mia recensione ,"5,0",0.0384,Good
compagnia,semplicit  nel suo uso e versalita ,"5,0",0.25,Good
buono  ottimi i materiali,ottimo strumento  molto utile,"5,0",0.25,Good
funziona benissimo   non posso farne a meno,alexa   insostituibile  mi trovo benissimo  qualit  suono ottima   veloce nella ricerca   facile da configurare  ,"5,0",0.25,Good
onnisciente,ottimo prodotto di facile installazione  risponde a qualsiasi domanda ed ha un infinit  di applicazioni che io  per manifesta incapacit   ancora non utilizzo ma piano piano         ,"5,0",0.186,Good
top ,amazon echo   personalmente   il primo dispositivo  che acquisto e devo dire che sono molto soddisfatto  indispensabile per chi ama la domotica in  casa e vuole dare un tocco di tecnologia in pi  ,"4,0",-0.1071,Bad
bella,un po  difficile da configurare ma bella,"5,0",-0.173,Bad
alexa,prodotto unico,"5,0",0.25,Good
ottimo,soddisfatto,"5,0",0.25,Good
buono,molto migliorato rispetto ai precedenti,"4,0",0.25,Good
articolo funzionale e buonissimo,articolo comodo e funzionale lo consiglio,"5,0",0.25,Good
may consegna,materiale come ordine  forniture consigliato ,"5,0",0.25,Good
ottimo,grazie amazon prodotto ottimo sonorita ottima,"5,0",0.1212,Good
alexa,alexa e fenomenale ottima,"5,0",0.25,Good
un avventura andata a finire per fortuna benissimo,inizialmente ero moltosoddisfatto ma dopo un mese di utilizzo la cassa ha iniziato a  friggere  rendendo i bassi fastidiosi  il suono era tremolante  l assistenza ha provato a farmi riavviare echodot  ma il problema   rimasto  dopo un passaggio all assistenza specifica e parecchi tentativi hanno scelto di darmi in sostituzione un oggetto ricondizionato  che dopo un mese di utilizzo ha lo stesso problema  a oggi mi   stato cambiato in tempi brevissimi  l assistenza come sempre   imbattibile   mi hanno supportato durante tutta la procedura sostituendolo ora va tutto bene  ps gli altri due che ho acquistato per la casa non hanno quel problema per fortuna ,"5,0",0.344,Good
ottimo ma   ,all inizio avevo messo   stelle  ora ce l ho da qualche mese e abbasso a   perch  ultimamente il comando vocale non funziona sempre benissimo e a volte si scollega dal wifi nonostante la connessione funzioni perfettamente ,"4,0",0.25,Good
prodotto indispensabile,avevo un echo dot di di quarta generazione che ha smesso di funzionare dopo un anno  volevo chiedere ad amazon se si poteva riparare  ma alla fine ho comprato subito questo modello  sperando che duri di pi   una volta abituati ad alexa  non se ne pu  pi  fare a meno ,"5,0",0.2186,Good
ottimo,si sente benissimo    piccolo e si adatta ad ogni stanza  peccato il filo bianco nonostante echodot che ho ordinato io sia nero,"4,0",0.25,Good
amazon,ottima come tutti prodotti amazon secondo me   da migliore il touch per mettere pausa perch  non prende al primo colpo,"5,0",0.089,Good
tutto bene,tutto bene,"5,0",0.25,Good
funziona davvero bene,lo uso per gestire tv android sony  riscaldamento finder bliss  robot deboot ed infuturo per le lampadine  sono pienamente soddisfatto anche perch  avevo l assistente google e trovo che alexa ha una marcia in pi   per esempio ti da la buonanotte con un bacino sonoro parlandoti a bassa voce    la prima volta ho avuto i brividi dalla gioia ,"5,0",0.3408,Good
vale la pena  ,sono passato dalla terza alla quinta generazione e questo   quello che ho riscontrato    audio    a livello audio c   stato un netto miglioramento  il suono   pi  pulito e pi  corposo  ora si pu  godere meglio di una buona musica      funzionalit        le funzionalit  mi sembrano tutto sommato le stesse    stato aggiunto un sensore di temperatura  anche se non mi sembra precisissimo e un sensore di prossimit  per rilevare se c   qualcuno nella stanza   design   il design   molto bello e ben curato  preferisco questo modello fatto a sfera che quello della terza generazione schiacciato si adatta perfettamente in ogni stanza ed oltre ad essere funzionale fa anche da arredo        configurazione       la configurazione   immediata se lo acquistate con l opzione di associarlo direttamente al vostro profilo  una volta tirato fuori dalla scatola basta attaccare l echo alla corrente e si attaccher  automaticamente al wifi e far  da solo tutte le configurazioni se invece   il vostro primo echo basta seguire le istruzioni e in pochi semplici passaggi verrete guidati nella configurazione    considerazioni   vale la pena passare da un precedente modello a questo  io dico dipende  i precedenti modelli non sono cos  inferiori o non gli mancano funzionalit  essenziali da essere sostituiti con questo a priori tuttavia questo prodotto si trova spesso in sconto a circa    euro e per questa cifra mi sento di consigliare il passaggio  altrimenti a prezzo pieno l unica cosa evidente per la quale varrebbe la pena effettuare l upgrade a mio avviso   l audio migliorato consiglio quindi se volete acquistarlo di aspettare una delle tante promo e portarvelo a casa con poco pi  di    euro ,"4,0",-0.0593,Bad
alexa,ottimo,"4,0",0.25,Good
alexa gen   ottimo come gli altri alexa,ho perso il conto di quanti echo dot ho comprato  tutti validissimi ,"5,0",0.25,Good
spettacolo,eco alexa   generazione  ha una qualit  del suono bellissima  ottima ,"5,0",0.186,Good
ottimo,ordinato per un regalo di compleanno ad una carissima amica  ne avevo gi  sentito parlare bene dell echo dot ed   vero    utile e indispensabile da avere in casa  con echo dot puoi fare tutto  ascoltare musica  chiedere ad alexa l ora  il tempo e  di impostare timer o sveglie  sta bene su tutti gli stili di arredamento  consigliatissimo ,"5,0",0.25,Good
ottimo,ottimo prezzo come sempre amazon   il top degli acquisti,"5,0",0.1945,Good
ottimo,ottimo,"5,0",0.25,Good
da avere,non ne faccio pi  a meno,"5,0",0.25,Good
alexa,beh fa quello che deve fare  la musica si sente bene,"4,0",0.25,Good
un ottima  cassa audio,non avendo il wifi a casa e collegando i dispositivi tramite hotspot del mio telefono    stato abbastanza difficile configurare la cassa la prima volta per funzionare solo tramite bluetooth  ma una volta configurata funziona come un orologio casio  perfettamente e senza intoppi  la qualit  del suono a questo prezzo credo che sia imbattibile  il microfono e il software riconoscono benissimo la voce ed   un gran piacere usarla per ascoltare musica e guardare film  ve la consiglio ,"5,0",0.25,Good
per me indispensabile  ,un dispositivo per ogni stanza e non solo  infatti anche in giardino c    alexa   il motivo   semplice  domotica  musica  ricerche  notizie  ricette e quant altro ,"5,0",0.25,Good
ottimo,non era per me ma per un non vedente ho aspettato che lo usasse un po  prima di lasciare feedback  ottimo prodotto veramente soddisfatto dell acquisto ,"5,0",-0.173,Bad
ottimo prodotto,i dot sono sempre un ottimo entry level  non sempre recepisce le domande al primo tentativo ma tutto sommato bene  ottimo audio,"5,0",0.25,Good
molto funzionale   ,non avevo mai provato un oggetto simile  l ho trovato divertente e utile  ci sono diversi giochi che intrattengono i bambini e si possono caricare moltissime skills per comandare i comandi domotici di casa  valuter  l acquisto di un altra alexa,"5,0",0.25,Good
recensione alexa,mi   piaciuto il servizio che offre,"5,0",0.25,Good
qualit  del suono veramente buona,la scorsa estate  durante una super offerta a soli       avevo preso l echo dot   generazione ed ero rimasto piacevolmente stupito della qualit  sonora in considerazione delle sue ridotte dimensioni  tralascio le considerazioni sul mondo alexa di cui molti ed assai pi  competenti di me gi  hanno scritto   a novembre u s  vedo una super offerta a      per il nuovo modello di    generazione con recensioni molto positive circa un ulteriore ed apprezzabile miglioramento del suono   decido che per quella cifra  visto che a volte si sprecano ben pi  soldi per poco pi  di nulla  valeva la pena di acquistarlo cos  li avrei sistemati in ambienti diversi  se la    generazione era gi  buona questo mi stupisce nel confronto  a volte mi chiedo come sia possibile che un aggeggio poco pi  grande di una mela possa avere una tale qualit  sonora  chiaramente la soundbar che ho   un altra cosa  ma parliamo di ben altre dimensioni e prezzi ,"5,0",0.4132,Good
echo dot  gen,prodotto arrivato in tempo con spedizione prime  conforme alla descrizione e alle foto presenti sul sito,"5,0",0.25,Good
utilit ,straordinario   ,"5,0",0.25,Good
 ,buon prodotto,"5,0",0.25,Good
bella comoda,bella comoda,"4,0",0.25,Good
consigliato,facile installazione lo trovo utile  consigliato per il prezzo,"5,0",0.25,Good
pacco arrivato integro e prodotto molto bello,cassa molto potente e compatibile con tutti i telefoni,"4,0",0.25,Good
eco dot,questo apparecchio lo ha voluto comprare mia moglie ovviamente per velocizzare le azioni in casa  diciamo che avendolo utilizzato da diversi giorni ho potuto notare che funziona ma purtroppo non al     per     perch  ad esempio io in casa ho una smartv hisense da    pollici molto recente e con quella non riesco a connettere le funzioni di alexa  anche avendo provato in diversi modi quindi do   stelle perch  purtroppo non si pu  associare a tutte le cose elettroniche che ci sono in casa ma resta utile per altre sue funzioni ,"4,0",-0.0405,Bad
ottimo,al di sopra delle mie aspettative ,"4,0",0.25,Good
top,mi diverto con alexa  applausi per chi lo ha inventato ,"5,0",0.1562,Good
ottimo prodotto,ottimo prodotto,"5,0",0.25,Good
comodo,usata come regalo,"5,0",0.25,Good
alexa,prodotto ottimo   venditore eccellente,"4,0",0.25,Good
ottimo prodotto,ottimo prodotto  acquistato per curiosit   principalmente lo uso come sveglia  devo ancora studiare un po  le funzioni  comunque acquisto consigliato ,"5,0",-0.173,Bad
alexa,si sente bene e forte,"5,0",0.25,Good
mai pi  senza ,da quando ho questo echo dot anche fare bici in casa   diventato pi  divertente lascio accesa la musica per i miei animali domestici quando sono fuori casa  posso cambiare volume e brani tramite il telefono  anche essendo fuori casa  funzione super comoda  a breve acquister  anche le lampadine e videocamere di sorveglianza occupa poco spazio  la musica si sente discretamente e a volume massimo si sente abbastanza alto  i bassi sono da migliorare ma per un altoparlante cos  piccolo non si pu  pretendere  utile anche come sveglia e come promemoria super consigliato ,"5,0",0.3587,Good
must have,avere in casa alexa   una gran comodit  si ascolta musica di ottima qualit  audio  si pu  interagire con l apparecchio per sapere le condizioni meteo piuttosto che le notizie del giorno e tante altre cose non se ne pu  pi  fare a meno ho acquistato con il prezzo in promozione e sono veramente soddisfatta la consegna precisa ,"5,0",-0.1476,Bad
funziona benissimo,ottimo prodotto  funziona bene  e  molto  utile soprattutto per ricordare le scadenze e la lista della spesa ,"5,0",0.25,Good
buono,como per sapere notizie in tempo reale,"4,0",0.25,Good
ottimo prodotto,ottimo prodotto,"5,0",0.25,Good
ottimo prodotto,non credo abbia bisogno di descrizioni alexa ,"5,0",0.25,Good
la nostra alexa,immancabile in casa    di compagnia per le notizie  la musica  i timer  etc ,"4,0",0.25,Good
qualit  e facilit  d uso ,il primo articolo per persone normali  che vogliono affacciarsi alla domotica  cassa audio spettacolare in piccoli ambienti ma si fa sentire anche in ambienti pi  grandi perfetta ,"5,0",0.25,Good
la base per una casa domotica,niente da fare  alexa si dimostra un eccellente assistente vocale l utilizzo dell app alexa sul telefono   un obbligo  ma davvero permette di regolare tutto se avete intenzione di implementarla in casa fidatevi  sar  un extra che si sentir  non appena ci farete un attimo la mano riconosce la voce molto bene anche dalle altre stanze e non fa interferenza se avete alexa su altri dispositivi  capir  in automatico a quale rivolgersi unica pecca che ho trovato  essendo un patito dell audio    che non ha nulla a che vedere con casse bluetooth di fascia media  qualitativamente buona ma non eccellente non comprate alexa per sentire solo la musica ,"5,0",0.186,Good
piccolo     in tutto   ,funzionale elegante occupa poco spazio quindi adattabile ovunque ma le sue dimensioni si rispecchiano anche nella potenza del suono    al massimo volume suona come il mio smartphone quindi se quello che cercate   un device che andrete ad utilizzare sopratutto per ascoltare la musica ovviamente da primemusic vi consiglio la sorella maggiore decisamemte pou potente e con un suono piu uniforme per quanto riguarda il funzionamemto e la qualita ovviamente meriterebbe non   ma   stelle  ,"4,0",0.25,Good
suono buono ma pi  sorda della  ,suono ottimo  l assistente vocale per  risulta pi   sordo  della versione      ,"4,0",0.25,Good
buon prodotto,fa quel che ci si aspetta  poco ingombrante  rapida nelle risposte ,"5,0",0.25,Good
molto migliorato,l ho acquistato per sostituire un echo dot di un paio di anni fa  per capirci quello  piatto  di  a generazione che si trova ancora in vendita la differenza in termini di qualit  audio   notevole e gi  solo questa vale i circa    euro di differenza sul prezzo inoltre questo ha anche il sensore di movimento e dunque consente di creare routine che si attivano quando rileva la presenza di qualcuno nella stanza spettacolare la procedura di installazione azione che consente anche all utente meno esperto di collegarlo praticamente    senza fare niente   spesso chi non lo possiede mi chiede    a che ti serve beh  a tante cose  molte delle quali probabilmente ancora non le conosco    un assistente vocale che mi fa compagnia leggendo i dei libri  ricorda le mie scadenze  mi sveglia al mattino  mi dice le news e le previsoni del meteo  mi collega con altri dispositivi simili per parlare con i miei familiari  oltre ad essere un ottimo speaker per ascolto radio o playlist  consente di gestire l accensione e spegnimento delle luci e di tutti i dispositivi controllabili via bluetooth o wi fi come le tapparelle  le telecamere di sorveglianza  le luci dell albero di natale    insomma  tutto ci  che   compatibile con alexa si pu  gestire attraverso questo piccola sfera magica lo consiglio dunque a chiunque voglia divertirsi con la domotica e l automazione dei vari dispositivi elettronici di casa certo  una volta facevamo tutto anche senza ma    non   un buon motivo per non provare la differenza  soprattutto quando ci semplifica la vita  ,"5,0",0.0809,Good
soddisfatto,semplice e facile da installare,"5,0",0.25,Good
niente,per adesso solo musica,"5,0",0.25,Good
bellissimo,tutto bene grazie,"5,0",0.25,Good
non so,funziona come tutte,"5,0",0.25,Good
alexa,tutto ok  ottimo prodotto,"5,0",0.1684,Good
comodit ,alexa ottima compagna giornaliera  si sente benissimo e sempre pronta rispondere a qualunque esigenza ,"5,0",0.25,Good
